broadcaster,nummsgs,lab2-10.40190,lab2-10.40290,lab2-10.40390,lab2-11.40090,lab2-11.40190,lab2-11.40290
lab2-10.40190,500,92.2000,88.2000,85.8000,90.8000,88.4000,88.6000
lab2-10.40390,100,87,90,86,96,93,91
lab2-11.40090,200,88.5000,87.5000,90.5000,88.5000,90.5000,87.5000
lab2-11.40190,300,87.6666,86.3333,88.6666,90.3333,90.3333,88.3333
