lab2-10.40190 1 lab2-10.40190 10:21:02.299553000 10:21:02.403454000 10:21:02.464455000
lab2-10.40190 1 lab2-10.40290 10:21:02.299553000 10:21:02.403067000 10:21:02.481874000
lab2-10.40190 1 lab2-10.40390 10:21:02.299553000 10:21:02.413634000 10:21:02.414891000
lab2-10.40190 1 lab2-11.40090 10:21:02.299553000 10:21:02.402472000 10:21:02.403315000
lab2-10.40190 1 lab2-11.40190 10:21:02.299553000 10:21:02.404203000
lab2-10.40190 1 lab2-11.40290 10:21:02.299553000 10:21:02.406313000 10:21:02.469635000
lab2-10.40190 2 lab2-10.40190 10:21:02.375997000 10:21:02.419840000 10:21:02.471771000
lab2-10.40190 2 lab2-10.40290 10:21:02.375997000 10:21:02.427478000 10:21:02.485432000
lab2-10.40190 2 lab2-10.40390 10:21:02.375997000 10:21:02.414211000 10:21:02.415711000
lab2-10.40190 2 lab2-11.40090 10:21:02.375997000 10:21:02.405494000 10:21:02.408087000
lab2-10.40190 2 lab2-11.40190 10:21:02.375997000 10:21:02.419696000 10:21:02.420342000
lab2-10.40190 2 lab2-11.40290 10:21:02.375997000 10:21:02.423855000 10:21:02.471786000
lab2-10.40190 3 lab2-10.40190 10:21:02.403501000 10:21:02.432058000 10:21:02.472595000
lab2-10.40190 3 lab2-10.40290 10:21:02.403501000 10:21:02.443771000 10:21:02.489705000
lab2-10.40190 3 lab2-10.40390 10:21:02.403501000 10:21:02.432650000 10:21:02.438122000
lab2-10.40190 3 lab2-11.40090 10:21:02.403501000 10:21:02.431394000 10:21:02.433676000
lab2-10.40190 3 lab2-11.40190 10:21:02.403501000 10:21:02.430309000 10:21:02.430975000
lab2-10.40190 3 lab2-11.40290 10:21:02.403501000 10:21:02.437063000 10:21:02.478814000
lab2-10.40190 4 lab2-10.40190 10:21:02.449360000 10:21:02.454940000 10:21:02.490784000
lab2-10.40190 4 lab2-10.40290 10:21:02.449360000 10:21:02.453659000 10:21:02.501473000
lab2-10.40190 4 lab2-10.40390 10:21:02.449360000 10:21:02.456449000
lab2-10.40190 4 lab2-11.40090 10:21:02.449360000 10:21:02.454998000 10:21:02.456678000
lab2-10.40190 4 lab2-11.40190 10:21:02.449360000 10:21:02.456679000 10:21:02.457244000
lab2-10.40190 4 lab2-11.40290 10:21:02.449360000 10:21:02.455633000 10:21:02.513713000
lab2-10.40190 5 lab2-10.40190 10:21:02.473474000 10:21:02.478248000 10:21:02.493859000
lab2-10.40190 5 lab2-10.40290 10:21:02.473474000 10:21:02.475730000 10:21:02.505432000
lab2-10.40190 5 lab2-10.40390 10:21:02.473474000 10:21:02.479657000
lab2-10.40190 5 lab2-11.40090 10:21:02.473474000 10:21:02.478528000 10:21:02.479325000
lab2-10.40190 5 lab2-11.40190 10:21:02.473474000 10:21:02.479143000
lab2-10.40190 5 lab2-11.40290 10:21:02.473474000 10:21:02.478317000 10:21:02.534333000
lab2-10.40190 6 lab2-10.40190 10:21:02.497177000 10:21:02.500018000 10:21:02.504881000
lab2-10.40190 6 lab2-10.40290 10:21:02.497177000 10:21:02.501627000 10:21:02.508259000
lab2-10.40190 6 lab2-10.40390 10:21:02.497177000 10:21:02.502940000 10:21:02.503782000
lab2-10.40190 6 lab2-11.40090 10:21:02.497177000 10:21:02.501147000 10:21:02.502280000
lab2-10.40190 6 lab2-11.40190 10:21:02.497177000 10:21:02.503608000 10:21:02.504494000
lab2-10.40190 6 lab2-11.40290 10:21:02.497177000 10:21:02.504423000
lab2-10.40190 7 lab2-10.40190 10:21:02.522934000 10:21:02.524684000 10:21:02.526420000
lab2-10.40190 7 lab2-10.40290 10:21:02.522934000 10:21:02.525522000
lab2-10.40190 7 lab2-10.40390 10:21:02.522934000 10:21:02.526874000
lab2-10.40190 7 lab2-11.40090 10:21:02.522934000 10:21:02.525027000
lab2-10.40190 7 lab2-11.40190 10:21:02.522934000 10:21:02.527331000
lab2-10.40190 7 lab2-11.40290 10:21:02.522934000 10:21:02.526752000 10:21:02.563334000
lab2-10.40190 8 lab2-10.40190 10:21:02.546064000 10:21:02.547070000 10:21:02.547905000
